date,day_mean_excess,n,cum_excess
2025-03-04,-0.03197101742472519,2,0.3181241014048396
2025-03-05,0.019894242549814607,3,0.3380183439546542
2025-03-10,-0.0025024945928586568,7,0.3355158493617955
2025-03-11,0.0224654916612419,2,0.3579813410230374
2025-03-13,-0.00164577150677551,3,0.3563355695162619
2025-03-14,0.04386995479628558,4,0.40020552431254747
2025-03-17,0.00844719377875395,3,0.40865271809130144
2025-03-18,-0.026099807710961025,6,0.3825529103803404
2025-03-19,-0.023502237823746275,6,0.3590506725565941
2025-03-20,-0.020367486612798025,10,0.3386831859437961
2025-03-21,0.003694638299327868,2,0.34237782424312396
2025-03-24,-0.05869333707052177,4,0.2836844871726022
2025-03-25,-0.011727983732939457,4,0.2719565034396627
2025-03-26,-0.06728706738799506,2,0.20466943605166765
2025-04-01,0.04838172076513325,1,0.2530511568168009
2025-04-15,0.01816245550484439,5,0.2712136123216453
2025-04-18,0.0015505318913209276,3,0.27276414421296624
2025-04-21,-0.006328091124759849,1,0.2664360530882064
2025-04-22,-0.008083765242963947,2,0.25835228784524245
2025-04-23,-0.004939376339571355,10,0.2534129115056711
2025-04-25,-0.002979035511234074,10,0.250433875994437
2025-04-28,-0.024225023786949313,3,0.22620885220748768
2025-04-29,-0.048279932054086205,8,0.17792892015340148
2025-05-02,0.0013281280718070777,10,0.17925704822520855
2025-05-06,-0.00977361920682207,6,0.16948342901838648
2025-05-07,-0.06047240498506092,5,0.10901102403332555
2025-05-08,0.011455943373559005,6,0.12046696740688455
2025-05-09,-0.014202118948622075,9,0.10626484845826248
2025-05-12,-0.0007937460663788087,10,0.10547110239188368
2025-05-13,-0.02101733067787276,2,0.08445377171401092
2025-05-14,-0.003150205222039648,10,0.08130356649197126
2025-05-15,0.1033995955132907,1,0.18470316200526196
2025-05-16,0.0010114171059343868,2,0.18571457911119635
2025-05-19,0.12676658847426325,1,0.31248116758545963
2025-05-20,0.012079187810430436,2,0.32456035539589007
2025-05-21,0.013332605805899171,9,0.33789296120178924
2025-05-23,0.013711636981814768,1,0.351604598183604
2025-05-26,-0.015035037128303971,3,0.33656956105530006
2025-05-28,0.028649430825908873,1,0.36521899188120893
2025-05-29,-0.019565322148838587,3,0.34565366973237033
2025-06-04,0.018490486810850748,4,0.3641441565432211
2025-06-05,0.0887211090711546,1,0.4528652656143757
2025-06-06,-0.03942605225680185,3,0.41343921335757383
2025-06-09,0.05153699530402217,4,0.464976208661596
2025-06-10,-0.003932116574642286,10,0.46104409208695374
2025-06-11,-0.012660584431537458,10,0.4483835076554163
2025-06-12,-0.03742004032053481,2,0.4109634673348815
2025-06-16,0.012297781015985953,5,0.4232612483508674
2025-06-17,0.030932087282235527,6,0.45419333563310293
2025-06-18,-0.032968782695496746,3,0.4212245529376062
2025-06-19,-0.026265048558248405,1,0.3949595043793578
2025-06-23,0.09036565954115545,3,0.4853251639205132
2025-06-24,-0.026517637685253836,7,0.4588075262352594
2025-06-26,0.007432080342237068,10,0.46623960657749647
2025-06-27,-0.0015618926239478902,9,0.46467771395354857
2025-06-30,-0.029625798936220082,2,0.4350519150173285
2025-07-01,-0.016841080872998793,10,0.4182108341443297
2025-07-02,-0.05635062153398298,6,0.36186021261034673
2025-07-03,-0.014428438743000399,4,0.34743177386734636
2025-07-07,-0.11135752023394008,1,0.23607425363340628
2025-07-08,0.030818339998578193,1,0.2668925936319845
2025-07-09,0.04483303702528696,1,0.31172563065727144
2025-07-11,0.03469641034273161,5,0.34642204100000307
2025-07-14,-0.028474391477206096,1,0.31794764952279697
2025-07-15,0.016738876774697726,6,0.3346865262974947
2025-07-16,-0.030478937051379884,2,0.3042075892461148
2025-07-17,-0.00316889695501128,10,0.3010386922911035
2025-07-18,-0.02592184102543202,4,0.27511685126567154
2025-07-21,0.00512072174737109,8,0.28023757301304264
2025-07-22,0.0777468868884682,2,0.35798445990151084
2025-07-23,0.025030934208161847,10,0.38301539410967267
2025-07-24,0.00017034163311302475,4,0.3831857357427857
2025-07-25,0.026235316447937435,6,0.4094210521907231
2025-07-28,-0.017997397016030592,2,0.3914236551746925
2025-07-29,-0.03241246628878136,1,0.35901118888591116
2025-07-30,-0.011482092490813644,10,0.3475290963950975
2025-07-31,0.01253600924537098,6,0.36006510564046845
2025-08-01,0.06338294745730122,4,0.42344805309776967
2025-08-04,0.004274382990683001,4,0.4277224360884527
2025-08-05,-0.0037891115712693152,9,0.42393332451718335
2025-08-07,0.009322868305216836,4,0.4332561928224002
2025-08-08,0.04332621367348094,4,0.47658240649588113
2025-08-11,-0.01257605064970906,5,0.46400635584617206
2025-08-12,0.028624114680385553,7,0.4926304705265576
2025-08-13,0.03146402959308305,5,0.5240945001196406
2025-08-14,-0.0023230385108413687,7,0.5217714616087993
2025-08-15,0.05157573349556188,10,0.5733471951043612
2025-08-18,0.0035592617892264184,7,0.5769064568935875
2025-08-20,-0.004057218721208455,1,0.5728492381723791
2025-08-21,0.023839858969126382,6,0.5966890971415055
2025-08-22,-0.08463205564308496,1,0.5120570414984206
2025-08-25,0.002785552322852591,10,0.5148425938212732
2025-08-26,0.08473702483627632,1,0.5995796186575495
2025-08-27,-0.0036540576574949912,10,0.5959255610000544
2025-08-28,-0.006872400617487691,3,0.5890531603825667
2025-08-29,-0.0003314697656260912,2,0.5887216906169406
2025-09-01,0.19206296688162428,1,0.7807846574985648
2025-09-03,0.023173699423975142,6,0.80395835692254
2025-09-04,0.20068822482265924,2,1.0046465817451993
2025-09-05,-0.022628614345785596,3,0.9820179673994137
2025-09-08,-0.07923122384293446,1,0.9027867435564793
2025-09-09,-0.014891404028065991,2,0.8878953395284133
2025-09-10,0.01384479355698276,3,0.901740133085396
2025-09-12,0.04674468902893847,5,0.9484848221143345
2025-09-15,0.008249765589017466,1,0.956734587703352
2025-09-16,-0.013641609140277233,3,0.9430929785630747
2025-09-17,0.031769445786970496,4,0.9748624243500452
2025-09-18,-0.009088689850940024,4,0.9657737344991052
2025-09-22,0.031877307418086476,1,0.9976510419171917
2025-09-23,0.003468788388507227,2,1.001119830305699
2025-09-24,-0.0143054606405566,1,0.9868143696651424
2025-09-25,-0.0629602796841695,1,0.9238540899809728
2025-09-30,-0.05548035455247757,1,0.8683737354284953
2025-10-01,-0.03729819808021928,3,0.831075537348276
2025-10-02,-0.05551444655440633,3,0.7755610907938697
2025-10-03,-0.06969228106317527,1,0.7058688097306944
2025-10-07,0.003959113564996859,6,0.7098279232956913
2025-10-09,0.0044374912803254824,3,0.7142654145760168
2025-10-13,-0.017145866797186143,3,0.6971195477788307
2025-10-14,0.047862904067923706,1,0.7449824518467544
2025-10-15,-0.012038865671597565,2,0.7329435861751568
2025-10-16,0.017294193426586158,10,0.7502377796017429
2025-10-17,0.009280765805842361,6,0.7595185454075852
2025-10-20,0.02862556705186403,4,0.7881441124594493
2025-10-21,0.025937853818180284,8,0.8140819662776295
2025-10-22,-0.027154646064576154,4,0.7869273202130533
2025-10-23,-0.08048049109754307,1,0.7064468291155103
2025-10-27,0.06830574987621567,5,0.7747525789917259
2025-10-28,-0.059657912899552135,2,0.7150946660921738
2025-10-29,-0.01487518612135604,3,0.7002194799708177
2025-10-30,-0.04235564701174055,1,0.6578638329590771
2025-11-03,0.02654611526308411,3,0.6844099482221613
2025-11-04,5.631330418365277e-06,2,0.6844155795525797
2025-11-06,-0.02858862409936318,5,0.6558269554532166
2025-11-10,0.05961649843351355,4,0.7154434538867301
2025-11-11,0.061754279614829155,5,0.7771977335015593
2025-11-12,-0.002413104988000942,7,0.7747846285135583
2025-11-13,-0.04858340372070091,1,0.7262012247928574
2025-11-14,-0.02939103160017137,4,0.696810193192686
2025-11-17,0.009042831243027516,1,0.7058530244357135
2025-11-20,0.013434455779886207,7,0.7192874802155997
2025-11-24,0.04395287100707179,1,0.7632403512226715
2025-11-25,0.011986807358506347,10,0.7752271585811779
2025-11-26,-0.009043006155579625,8,0.7661841524255982
2025-11-27,0.01504455587618501,6,0.7812287083017833
2025-11-28,0.01668308543161323,5,0.7979117937333965
2025-12-01,-0.011320227952869532,5,0.7865915657805269
2025-12-02,-0.03260533991878147,10,0.7539862258617455
2025-12-03,0.04452545799489693,10,0.7985116838566424
2025-12-04,0.10466310529864642,2,0.9031747891552888
2025-12-05,0.0035798121527055747,5,0.9067546013079943
2025-12-08,0.10149717858992793,4,1.0082517798979223
2025-12-09,-0.014299043153925894,5,0.9939527367439963
2025-12-10,-0.04919780601362189,3,0.9447549307303744
2025-12-12,0.03324580509477959,3,0.978000735825154
2025-12-15,0.0010065991327699402,3,0.9790073349579239
2025-12-17,0.03216022390320705,4,1.011167558861131
2025-12-19,0.0055459144904818625,6,1.016713473351613
2025-12-22,0.01873351639927254,9,1.0354469897508856
2025-12-23,0.022011703808798355,1,1.057458693559684
2025-12-24,-0.036036785145868146,6,1.0214219084138159
2025-12-26,-0.062489295438350134,5,0.9589326129754657
2025-12-29,0.03148307983450893,4,0.9904156928099747
2025-12-30,0.03458381060274294,6,1.0249995034127175
2025-12-31,-0.05549954003268098,3,0.9694999633800365
2026-01-02,-0.0005665394207087596,6,0.9689334239593278
2026-01-05,0.062026380521888136,1,1.030959804481216
2026-01-06,0.025189819861664162,7,1.0561496243428803
2026-01-07,-0.0005928911266143977,4,1.0555567332162659
2026-01-09,0.013147429264280017,8,1.0687041624805458
2026-01-12,0.01453976505556891,10,1.0832439275361148
2026-01-13,-0.049605466523630994,3,1.0336384610124838
